 ,Haplodiploidy,Eusociality
Di_Muscida,0,0
Di_Mycetop,0,0
Di_Mydidae,0,0
Di_Mythico,0,0
Di_Nemestr,0,0
Di_Neuroch,0,0
Di_Nycteri,0,0
Di_Odiniid,0,0
Di_Oestrid,0,0
Di_Opomyzi,0,0
Di_Pachyne,0,0
Di_Pallopt,0,0
Di_Pelecor,0,0
Di_Perisce,0,0
Di_Perisso,0,0
Di_Phorida,0,0
Di_Piophil,0,0
Di_Pipuncu,0,0
Di_Platype,0,0
Di_Platyst,0,0
Di_Pleciid,0,0
Di_Psilida,0,0
Di_Psychod,0,0
Di_Ptychop,0,0
Di_Pyrgoti,0,0
Di_Rhagion,0,0
Di_Rhinoph,0,0
Di_Richar,0,0
Di_Sarcoph,0,0
Di_Scathop,0,0
Di_Scatops,0,0
Di_Scenopi,0,0
Di_Sciadoc,0,0
Di_Sciarid,1,0
Di_Sciomyz,0,0
Di_Sepsida,0,0
Di_Simulii,0,0
Di_Somatid,0,0
Di_Sphaero,0,0
Di_Stratio,0,0
Di_Strebli,0,0
Di_Strongy,0,0
Di_Synneur,0,0
Di_Syrphid,0,0
Di_Tabanid,0,0
Di_Tachini,0,0
Di_Tanyder,0,0
Di_Tephrit,0,0
Di_Thaumal,0,0
Di_Therevi,0,0
Di_Tipulid,0,0
Di_Trichoc,0,0
Di_Ulidiid,0,0
Di_Vermile,0,0
Di_Xenaste,0,0
Di_Xylomyi,0,0
Di_Xylopha,0,0
Emb_Anisem,0,0
Emb_Austra,0,0
Emb_Clotho,0,0
Emb_Embiid,0,0
Emb_Notoli,0,0
Emb_Oligot,0,0
Emb_Terate,0,0
Ep_Acantha,0,0
Ep_Ameleti,0,0
Ep_Ameleto,0,0
Ep_Ametrop,0,0
Ep_Baetida,0,0
Ep_Baetisc,0,0
Ep_Behning,0,0
Ep_Caenida,0,0
Ep_Colobur,0,0
Ep_Diptero,0,0
Ep_Ephemerel,0,0
Ep_Ephemeri,0,0
Ep_Euthypl,0,0
Ep_Heptage,0,0
Ep_Ichthyb,0,0
Ep_Isonych,0,0
Ep_Leptohy,0,0
Ep_Leptoph,0,0
Ep_Metreto,0,0
Ep_Neoephe,0,0
Ep_Nesamel,0,0
Ep_Oligone,0,0
Ep_Oniscig,0,0
Ep_Palinge,0,0
Ep_Polymit,0,0
Ep_Potaman,0,0
Ep_Prosopi,0,0
Ep_Rallide,0,0
Ep_Siphlae,0,0
Ep_Siphlon,0,0
Ep_Telogan,0,0
Ep_Tricory,0,0
Grylloblat,0,0
He_Acantho,0,0
He_Achilid,0,0
He_Achilix,0,0
He_Aetalio,0,0
He_Aleyrod,1,0
He_Alydida,0,0
He_Anthoco,0,0
He_Apheloc,0,0
He_Aphidoi,0,0
He_Aphroph,0,0
He_Aradida,0,0
He_Belosto,0,0
He_Berytid,0,0
He_Calisce,0,0
He_Canopid,0,0
He_Cercopi,0,0
He_Cicadel,0,0
He_Cicadid,0,0
He_Cimicid,0,0
He_Cixiida,0,0
He_Clastop,0,0
He_Coccoid,1,0
He_Colobat,0,0
He_Coreida,0,0
He_Corixid,0,0
He_Cydnida,0,0
He_Delphac,0,0
He_Derbida,0,0
He_Dictyop,0,0
He_Dinidor,0,0
He_Dipsoco,0,0
He_Epipygi,0,0
He_Enicoce,0,0
He_Eurybra,0,0
He_Flatida,0,0
He_Fulgori,0,0
He_Gelasto,0,0
He_Gerrida,0,0
He_Hebrida,0,0
He_Hermato,0,0
He_Hydrome,0,0
He_Hyoceph,0,0
He_Idiosto,0,0
He_Issidae,0,0
He_Joppeic,0,0
He_Largida,0,0
He_Leptopo,0,0
He_Lestoni,0,0
He_Lophopi,0,0
He_Lycetoc,0,0
He_Lygaeio,0,0
He_Machaer,0,0
He_Macrove,0,0
He_Malcida,0,0
He_Meenopl,0,0
He_Membrac,0,0
He_Mesovel,0,0
He_Microph,0,0
He_Miridae,0,0
He_Myerslo,0,0
He_Nabidae,0,0
He_Naucori,0,0
He_Nepidae,0,0
He_Nogodin,0,0
He_Notonec,0,0
He_Ochteri,0,0
He_Paraphy,0,0
He_Pelorid,0,0
He_Pentato,0,0
He_Phloeid,0,0
He_Phyllox,0,0
He_Phymati,0,0
He_Piesmat,0,0
He_Platasp,0,0
He_Pleidae,0,0
He_Plokiop,0,0
He_Psylloi,0,0
He_Pyrrhoc,0,0
He_Reduvii,0,0
He_Rhopali,0,0
He_Ricanni,0,0
He_Saldida,0,0
He_Schizop,0,0
He_Scutell,0,0
He_Stenoce,0,0
He_Termita,0,0
He_Tessara,0,0
He_Tettigo,0,0
He_Thaumas,0,0
He_Tingida,0,0
He_Tropidu,0,0
He_Veliida,0,0
He_Velocip,0,0
Hy_Agaonid,1,0
Hy_Ampulic,1,0
Hy_Anaxeli,1,0
Hy_Andreni,1,0
Hy_Aphelin,1,0
Hy_Apidae,1,1
Hy_Argidae,1,0
Hy_Aulacid,1,0
Hy_Bethyli,1,0
Hy_Blastic,1,0
Hy_Braconi,1,0
Hy_Bradyno,1,0
Hy_Cephida,1,0
Hy_Ceraphr,1,0
Hy_Chalcid,1,0
Hy_Chrysid,1,0
Hy_Cimbici,1,0
Hy_Colleti,1,0
Hy_Crabron,1,1
Hy_Cynipid,1,0
Hy_Diaprii,1,0
Hy_Diprion,1,0
Hy_Encyrti,1,0
Hy_Euchari,1,0
Hy_Eulophi,1,0
Hy_Eupelmi,1,0
Hy_Eurytom,1,0
Hy_Evaniid,1,0
Hy_Figitid,1,0
Hy_Formici,1,1
Hy_Gasteru,1,0
Hy_Halicti,1,1
Hy_Helorid,1,0
Hy_Ibaliid,1,0
Hy_Ichneum,1,0
Hy_Liopter,1,0
Hy_Maaming,1,0
Hy_Megachi,1,0
Hy_Megalod,1,0
Hy_Megalyr,1,0
Hy_Megaspi,1,0
Hy_Melitti,1,0
Hy_Monomac,1,0
Hy_Mutilid,1,0
Hy_Mymarid,1,0
Hy_Mymaron,1,0
Hy_Orussid,1,0
Hy_Pamphil,1,0
Hy_Pelecin,1,0
Hy_Pergida,1,0
Hy_Perilam,1,0
Hy_Platyga,1,0
Hy_Plumari,1,0
Hy_Pompili,1,0
Hy_Proctot,1,0
Hy_Pteroma,1,0
Hy_Roprion,1,0
Hy_Rotoiti,1,0
Hy_Sapygid,1,0
Hy_Scelion,1,0
Hy_Scoleby,1,0
Hy_Scoliid,1,0
Hy_Siricid,1,0
Hy_Sierolo,1,0
Hy_Sphecid,1,0
Hy_Stenotr,1,0
Hy_Stephan,1,0
Hy_Tenthre,1,0
Hy_Tetraca,1,0
