,Eusociality,Monogamy
Pogonomyrmex_pima,1,0
Pogonomyrmex_pronotalis,1,0
Pogonomyrmex_rugosus,1,0
Polistes_annularis,1,0
Polistes_bellicosus,1,1
Polistes_biglumis,1,1
Polistes_chinensis,1,1
Polistes_dorsalis,1,1
Polistes_fuscatus,1,0
Polistes_gallicus,1,1
Polistes_jokahamae,1,1
Polistes_snelleni,1,1
Polistes_versicolor,1,1
Polyergus_rufescens,1,1
Praon_spp,0,1
Proformica_longiseta,1,0
Protomognathus_americanus,1,0
Protoxaea_gloriosa,0,0
Provespa_anomala,1,1
Pseudorhyssa_spp,0,0
Ptiloglossa_spp,0,0
Ptilothrix_spp,0,1
Rhyssa_persuasoria,0,1
Rossomyrmex_minuchae,1,1
Scaptotrigona_depilis,1,1
Scaptotrigona_mexicana,1,0
Scaptotrigona_pectoralis,1,0
Scaptotrigona_postica,1,1
Sericomyrmex_amabilis,1,0
Solenopsis_geminata,1,0
Solenopsis_invicta,1,1
Solenopsis_richteri,1,0
Spalangia_nigra,0,1
Sphex_spp,0,0
Spilichneumon_spp,0,1
Stenocorse_bruchivora,0,1
Systropha_curvicornis,0,0
Systropha_planidens,0,0
Tachytes_spp,0,1
Telenomus_spp,0,1
Temnothorax_americanus,1,0
Temnothorax_crassispinus,1,0
Temnothorax_longispinosus,1,1
Temnothorax_nylanderi,1,1
Temnothorax_unifasciatus,1,1
Tetragonula_carbonaria,1,1
Tetragonula_clypearis,1,0
Tetragonula_hockingsi,1,0
Tetragonula_mellipes,1,1
Tetraloniella_spp,0,0
Tetrastichus_spp,0,1
Trachymyrmex_cornetzi,1,0
Trachymyrmex_isthmicus,1,1
Trichogramma_dendrolimi,0,1
Trigona_fulviventris,1,0
Trioxys_spp,0,1
Tromatobia_ovivora,0,0
Vespa_analis,1,1
Vespa_crabro,1,0
Vespa_ducalis,1,1
Vespa_mandarinia,1,0
Vespa_simillima,1,0
Vespula_germanica,1,0
Vespula_maculifrons,1,0
Vespula_rufa,1,0
Vespula_squamosa,1,0
Vespula_vulgaris,1,0
Vulgichneumon_spp,0,1
Xylocopa_acutipennis,0,0
Xylocopa_aeratus,0,0
Xylocopa_aruana,0,0
Xylocopa_bombylans,0,0
Xylocopa_caffra,0,0
Xylocopa_californica,0,0
Xylocopa_fimbriata,0,0
Xylocopa_flavorufa,0,0
Xylocopa_frontalis,0,0
Xylocopa_gualanensis,0,0
Xylocopa_inconstans,0,0
Xylocopa_iris,0,0
Xylocopa_latipes,0,0
Xylocopa_lieftincki,0,0
Xylocopa_micans,0,0
Xylocopa_muscaria,0,0
Xylocopa_pubescens,0,0
Xylocopa_sulcatipes,0,0
Xylocopa_varipuncta,0,0
Xylocopa_violacea,0,0
Xylocopa_virginica,0,0
